pagina_url,titulo,imagem_url,timestamp
https://pt.wikipedia.org/wiki/Steve_Jobs,"Steve Jobs – Wikipédia, a enciclopédia livre",https://pt.wikipedia.org/static/images/icons/wikipedia.png,2026-04-10 22:58:14
https://pt.wikipedia.org/wiki/Steve_Jobs,"Steve Jobs – Wikipédia, a enciclopédia livre",https://pt.wikipedia.org/static/images/mobile/copyright/wikipedia-wordmark-fr.svg,2026-04-10 22:58:14
https://pt.wikipedia.org/wiki/Steve_Jobs,"Steve Jobs – Wikipédia, a enciclopédia livre",https://pt.wikipedia.org/static/images/mobile/copyright/wikipedia-tagline-pt.svg,2026-04-10 22:58:14
https://pt.wikipedia.org/wiki/Steve_Jobs,"Steve Jobs – Wikipédia, a enciclopédia livre",https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Steve_Jobs_Headshot_2010_%28cropped_4%29.jpg/250px-Steve_Jobs_Headshot_2010_%28cropped_4%29.jpg,2026-04-10 22:58:14
https://pt.wikipedia.org/wiki/Steve_Jobs,"Steve Jobs – Wikipédia, a enciclopédia livre",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Steve_Jobs_signature.svg/250px-Steve_Jobs_signature.svg.png,2026-04-10 22:58:14
https://pt.wikipedia.org/wiki/Steve_Jobs,"Steve Jobs – Wikipédia, a enciclopédia livre",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Magnifying_glass_01.svg/20px-Magnifying_glass_01.svg.png,2026-04-10 22:58:14
https://pt.wikipedia.org/wiki/Steve_Jobs,"Steve Jobs – Wikipédia, a enciclopédia livre",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Apple_I.jpg/250px-Apple_I.jpg,2026-04-10 22:58:14
https://pt.wikipedia.org/wiki/Steve_Jobs,"Steve Jobs – Wikipédia, a enciclopédia livre",https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Apple-II.jpg/250px-Apple-II.jpg,2026-04-10 22:58:14
https://pt.wikipedia.org/wiki/Steve_Jobs,"Steve Jobs – Wikipédia, a enciclopédia livre",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Magnifying_glass_01.svg/20px-Magnifying_glass_01.svg.png,2026-04-10 22:58:14
https://pt.wikipedia.org/wiki/Steve_Jobs,"Steve Jobs – Wikipédia, a enciclopédia livre",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Apple_Lisa.jpg/250px-Apple_Lisa.jpg,2026-04-10 22:58:14
